Input,NUM_ITERATION,AVERAGE_TIME,NUM_MACHINE
input-6.in,5,17.78156509399414,1
input-7.in,5,460.9174915313721,1
input-6.in,5,8.882187271118164,2
input-7.in,5,230.43249568939208,2
input-6.in,5,6.681700325012207,3
input-7.in,5,160.99309301376343,3
input-6.in,5,4.506554985046387,4
input-7.in,5,115.71876797676086,4
input-6.in,5,4.4595166683197025,5
input-7.in,5,93.71067218780517,5
input-6.in,5,4.453908205032349,6
input-7.in,5,79.31949553489684,6
input-6.in,5,4.49849419593811,7
input-7.in,5,71.85949792861939,7
input-6.in,5,2.2701476573944093,8
input-7.in,5,58.72748503684998,8
input-6.in,5,2.341044473648071,9
input-7.in,5,57.323986530303955,9
